Epoch: 1, lr: 1.00e-03 - train loss: 1.73 - valid loss: 9.58e-01, valid error: 2.25e-01
Epoch: 2, lr: 9.74e-04 - train loss: 8.89e-01 - valid loss: 3.10e-01, valid error: 7.95e-02
Epoch: 3, lr: 9.47e-04 - train loss: 7.00e-01 - valid loss: 1.96e-01, valid error: 5.96e-02
Epoch: 4, lr: 9.21e-04 - train loss: 5.93e-01 - valid loss: 7.55e-01, valid error: 2.19e-01
Epoch: 5, lr: 8.94e-04 - train loss: 4.84e-01 - valid loss: 6.49e-01, valid error: 2.19e-01
Epoch: 6, lr: 8.68e-04 - train loss: 3.89e-01 - valid loss: 8.36e-02, valid error: 1.99e-02
Epoch: 7, lr: 8.41e-04 - train loss: 3.50e-01 - valid loss: 3.34e-01, valid error: 1.06e-01
Epoch: 8, lr: 8.15e-04 - train loss: 3.35e-01 - valid loss: 8.65e-02, valid error: 2.65e-02
Epoch: 9, lr: 7.88e-04 - train loss: 2.69e-01 - valid loss: 1.71e-01, valid error: 5.30e-02
Epoch: 10, lr: 7.62e-04 - train loss: 2.71e-01 - valid loss: 1.07e-01, valid error: 3.31e-02
Epoch: 11, lr: 7.35e-04 - train loss: 2.56e-01 - valid loss: 4.05e-01, valid error: 1.06e-01
Epoch: 12, lr: 7.09e-04 - train loss: 2.24e-01 - valid loss: 5.87e-02, valid error: 1.99e-02
Epoch: 13, lr: 6.82e-04 - train loss: 1.94e-01 - valid loss: 6.14e-02, valid error: 2.65e-02
Epoch: 14, lr: 6.56e-04 - train loss: 1.85e-01 - valid loss: 1.37e-01, valid error: 4.64e-02
Epoch: 15, lr: 6.29e-04 - train loss: 1.53e-01 - valid loss: 1.35e-01, valid error: 3.31e-02
Epoch: 16, lr: 6.03e-04 - train loss: 1.76e-01 - valid loss: 1.96e-02, valid error: 6.62e-03
Epoch: 17, lr: 5.76e-04 - train loss: 1.40e-01 - valid loss: 7.36e-02, valid error: 1.99e-02
Epoch: 18, lr: 5.50e-04 - train loss: 1.34e-01 - valid loss: 1.86e-02, valid error: 6.62e-03
Epoch: 19, lr: 5.24e-04 - train loss: 1.54e-01 - valid loss: 2.71e-02, valid error: 6.62e-03
Epoch: 20, lr: 4.97e-04 - train loss: 1.04e-01 - valid loss: 1.15e-02, valid error: 6.62e-03
Epoch: 21, lr: 4.71e-04 - train loss: 1.15e-01 - valid loss: 5.98e-02, valid error: 1.99e-02
Epoch: 22, lr: 4.44e-04 - train loss: 8.21e-02 - valid loss: 1.69e-02, valid error: 6.62e-03
Epoch: 23, lr: 4.18e-04 - train loss: 8.34e-02 - valid loss: 2.84e-02, valid error: 6.62e-03
Epoch: 24, lr: 3.91e-04 - train loss: 6.01e-02 - valid loss: 8.98e-03, valid error: 0.00e+00
Epoch: 25, lr: 3.65e-04 - train loss: 7.18e-02 - valid loss: 5.04e-02, valid error: 1.99e-02
Epoch: 26, lr: 3.38e-04 - train loss: 6.54e-02 - valid loss: 4.74e-02, valid error: 1.99e-02
Epoch: 27, lr: 3.12e-04 - train loss: 7.59e-02 - valid loss: 7.35e-03, valid error: 0.00e+00
Epoch: 28, lr: 2.85e-04 - train loss: 5.67e-02 - valid loss: 1.52e-02, valid error: 6.62e-03
Epoch: 29, lr: 2.59e-04 - train loss: 7.07e-02 - valid loss: 1.05e-02, valid error: 0.00e+00
Epoch: 30, lr: 2.32e-04 - train loss: 4.87e-02 - valid loss: 1.28e-02, valid error: 0.00e+00
Epoch: 31, lr: 2.06e-04 - train loss: 5.08e-02 - valid loss: 8.11e-03, valid error: 0.00e+00
Epoch: 32, lr: 1.79e-04 - train loss: 5.76e-02 - valid loss: 9.03e-03, valid error: 0.00e+00
Epoch: 33, lr: 1.53e-04 - train loss: 3.46e-02 - valid loss: 5.14e-03, valid error: 0.00e+00
Epoch: 34, lr: 1.26e-04 - train loss: 4.00e-02 - valid loss: 9.60e-03, valid error: 0.00e+00
Epoch: 35, lr: 1.00e-04 - train loss: 2.69e-02 - valid loss: 1.18e-02, valid error: 0.00e+00
Epoch loaded: 35 - test loss: 5.65e-03, test error: 0.00e+00
