Epoch: 1, lr: 1.00e-03 - train loss: 1.70 - valid loss: 7.84e-01, valid error: 2.72e-01
Epoch: 2, lr: 9.74e-04 - train loss: 8.28e-01 - valid loss: 5.04e-01, valid error: 1.72e-01
Epoch: 3, lr: 9.47e-04 - train loss: 6.45e-01 - valid loss: 1.87e-01, valid error: 5.30e-02
Epoch: 4, lr: 9.21e-04 - train loss: 5.14e-01 - valid loss: 4.43e-01, valid error: 1.66e-01
Epoch: 5, lr: 8.94e-04 - train loss: 4.30e-01 - valid loss: 1.18e-01, valid error: 2.65e-02
Epoch: 6, lr: 8.68e-04 - train loss: 3.55e-01 - valid loss: 1.65e-01, valid error: 4.64e-02
Epoch: 7, lr: 8.41e-04 - train loss: 3.16e-01 - valid loss: 2.14e-01, valid error: 7.95e-02
Epoch: 8, lr: 8.15e-04 - train loss: 2.92e-01 - valid loss: 9.19e-02, valid error: 1.99e-02
Epoch: 9, lr: 7.88e-04 - train loss: 2.69e-01 - valid loss: 1.57e-01, valid error: 4.64e-02
Epoch: 10, lr: 7.62e-04 - train loss: 2.20e-01 - valid loss: 3.12e-02, valid error: 6.62e-03
Epoch: 11, lr: 7.35e-04 - train loss: 2.38e-01 - valid loss: 1.10e-01, valid error: 2.65e-02
Epoch: 12, lr: 7.09e-04 - train loss: 1.89e-01 - valid loss: 1.79e-02, valid error: 0.00e+00
Epoch: 13, lr: 6.82e-04 - train loss: 1.58e-01 - valid loss: 1.35e-01, valid error: 3.97e-02
Epoch: 14, lr: 6.56e-04 - train loss: 1.45e-01 - valid loss: 1.12e-01, valid error: 3.97e-02
Epoch: 15, lr: 6.29e-04 - train loss: 1.44e-01 - valid loss: 7.24e-02, valid error: 1.99e-02
Epoch: 16, lr: 6.03e-04 - train loss: 1.39e-01 - valid loss: 8.63e-02, valid error: 1.99e-02
Epoch: 17, lr: 5.76e-04 - train loss: 1.17e-01 - valid loss: 2.26e-01, valid error: 7.28e-02
Epoch: 18, lr: 5.50e-04 - train loss: 1.16e-01 - valid loss: 5.56e-02, valid error: 1.32e-02
Epoch: 19, lr: 5.24e-04 - train loss: 1.20e-01 - valid loss: 3.59e-02, valid error: 6.62e-03
Epoch: 20, lr: 4.97e-04 - train loss: 9.23e-02 - valid loss: 8.63e-02, valid error: 1.99e-02
Epoch: 21, lr: 4.71e-04 - train loss: 9.49e-02 - valid loss: 4.18e-02, valid error: 1.32e-02
Epoch: 22, lr: 4.44e-04 - train loss: 7.16e-02 - valid loss: 8.78e-03, valid error: 0.00e+00
Epoch: 23, lr: 4.18e-04 - train loss: 6.82e-02 - valid loss: 2.36e-02, valid error: 6.62e-03
Epoch: 24, lr: 3.91e-04 - train loss: 4.49e-02 - valid loss: 7.25e-03, valid error: 0.00e+00
Epoch: 25, lr: 3.65e-04 - train loss: 6.70e-02 - valid loss: 1.55e-02, valid error: 0.00e+00
Epoch: 26, lr: 3.38e-04 - train loss: 6.63e-02 - valid loss: 3.32e-02, valid error: 6.62e-03
Epoch: 27, lr: 3.12e-04 - train loss: 6.96e-02 - valid loss: 1.87e-02, valid error: 6.62e-03
Epoch: 28, lr: 2.85e-04 - train loss: 4.27e-02 - valid loss: 2.38e-02, valid error: 6.62e-03
Epoch: 29, lr: 2.59e-04 - train loss: 5.14e-02 - valid loss: 3.38e-02, valid error: 6.62e-03
Epoch: 30, lr: 2.32e-04 - train loss: 3.79e-02 - valid loss: 2.33e-02, valid error: 6.62e-03
Epoch: 31, lr: 2.06e-04 - train loss: 5.49e-02 - valid loss: 2.16e-02, valid error: 6.62e-03
Epoch: 32, lr: 1.79e-04 - train loss: 3.90e-02 - valid loss: 2.26e-02, valid error: 6.62e-03
Epoch: 33, lr: 1.53e-04 - train loss: 2.93e-02 - valid loss: 2.89e-02, valid error: 6.62e-03
Epoch: 34, lr: 1.26e-04 - train loss: 3.22e-02 - valid loss: 1.53e-02, valid error: 6.62e-03
Epoch: 35, lr: 1.00e-04 - train loss: 2.24e-02 - valid loss: 2.27e-02, valid error: 6.62e-03
Epoch loaded: 25 - test loss: 1.70e-02, test error: 6.54e-03
