Epoch: 1, lr: 1.00e-03 - train loss: 1.75 - valid loss: 1.25, valid error: 4.37e-01
Epoch: 2, lr: 9.74e-04 - train loss: 8.79e-01 - valid loss: 6.62e-01, valid error: 2.25e-01
Epoch: 3, lr: 9.47e-04 - train loss: 6.84e-01 - valid loss: 1.77, valid error: 4.77e-01
Epoch: 4, lr: 9.21e-04 - train loss: 5.43e-01 - valid loss: 3.19e-01, valid error: 8.61e-02
Epoch: 5, lr: 8.94e-04 - train loss: 4.95e-01 - valid loss: 2.38e-01, valid error: 9.27e-02
Epoch: 6, lr: 8.68e-04 - train loss: 4.36e-01 - valid loss: 9.93e-02, valid error: 2.65e-02
Epoch: 7, lr: 8.41e-04 - train loss: 3.95e-01 - valid loss: 6.21e-02, valid error: 1.32e-02
Epoch: 8, lr: 8.15e-04 - train loss: 3.11e-01 - valid loss: 9.40e-02, valid error: 2.65e-02
Epoch: 9, lr: 7.88e-04 - train loss: 2.76e-01 - valid loss: 5.67e-02, valid error: 1.32e-02
Epoch: 10, lr: 7.62e-04 - train loss: 2.40e-01 - valid loss: 9.56e-02, valid error: 1.99e-02
Epoch: 11, lr: 7.35e-04 - train loss: 2.68e-01 - valid loss: 1.43e-01, valid error: 4.64e-02
Epoch: 12, lr: 7.09e-04 - train loss: 2.42e-01 - valid loss: 1.07e-01, valid error: 3.97e-02
Epoch: 13, lr: 6.82e-04 - train loss: 2.10e-01 - valid loss: 3.68e-02, valid error: 0.00e+00
Epoch: 14, lr: 6.56e-04 - train loss: 1.92e-01 - valid loss: 8.20e-02, valid error: 2.65e-02
Epoch: 15, lr: 6.29e-04 - train loss: 1.63e-01 - valid loss: 2.28e-02, valid error: 0.00e+00
Epoch: 16, lr: 6.03e-04 - train loss: 1.72e-01 - valid loss: 1.61e-01, valid error: 4.64e-02
Epoch: 17, lr: 5.76e-04 - train loss: 1.42e-01 - valid loss: 2.87e-02, valid error: 0.00e+00
Epoch: 18, lr: 5.50e-04 - train loss: 1.08e-01 - valid loss: 1.51e-02, valid error: 0.00e+00
Epoch: 19, lr: 5.24e-04 - train loss: 1.03e-01 - valid loss: 3.65e-02, valid error: 1.32e-02
Epoch: 20, lr: 4.97e-04 - train loss: 1.18e-01 - valid loss: 4.10e-02, valid error: 1.32e-02
Epoch: 21, lr: 4.71e-04 - train loss: 1.16e-01 - valid loss: 1.78e-02, valid error: 0.00e+00
Epoch: 22, lr: 4.44e-04 - train loss: 1.17e-01 - valid loss: 4.13e-02, valid error: 6.62e-03
Epoch: 23, lr: 4.18e-04 - train loss: 8.55e-02 - valid loss: 2.59e-02, valid error: 1.32e-02
Epoch: 24, lr: 3.91e-04 - train loss: 7.14e-02 - valid loss: 3.10e-02, valid error: 1.32e-02
Epoch: 25, lr: 3.65e-04 - train loss: 7.24e-02 - valid loss: 6.99e-03, valid error: 0.00e+00
Epoch: 26, lr: 3.38e-04 - train loss: 7.49e-02 - valid loss: 1.39e-02, valid error: 0.00e+00
Epoch: 27, lr: 3.12e-04 - train loss: 7.80e-02 - valid loss: 2.90e-02, valid error: 6.62e-03
Epoch: 28, lr: 2.85e-04 - train loss: 6.88e-02 - valid loss: 5.87e-03, valid error: 0.00e+00
Epoch: 29, lr: 2.59e-04 - train loss: 5.36e-02 - valid loss: 1.21e-02, valid error: 0.00e+00
Epoch: 30, lr: 2.32e-04 - train loss: 4.44e-02 - valid loss: 5.09e-03, valid error: 0.00e+00
Epoch: 31, lr: 2.06e-04 - train loss: 5.12e-02 - valid loss: 1.77e-02, valid error: 6.62e-03
Epoch: 32, lr: 1.79e-04 - train loss: 4.58e-02 - valid loss: 1.26e-02, valid error: 6.62e-03
Epoch: 33, lr: 1.53e-04 - train loss: 3.80e-02 - valid loss: 1.04e-02, valid error: 0.00e+00
Epoch: 34, lr: 1.26e-04 - train loss: 2.32e-02 - valid loss: 5.82e-03, valid error: 0.00e+00
Epoch: 35, lr: 1.00e-04 - train loss: 3.66e-02 - valid loss: 5.86e-03, valid error: 0.00e+00
Epoch loaded: 35 - test loss: 1.74e-03, test error: 0.00e+00
